icone_sysml1;type_sysml2;concept_sysml2_definition;concept_sysml2_usage;action;confiance;commentaire;chemin_source;chemin_destination
interfacerealization;relation;InterfaceRealization (relation);;recolorer;moyenne;relation KerML, pas de dualite Definition/Usage - a valider selon type exact;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interfacerealization.png;icons-study/07-icones-sources/sysml1/interfacerealization.png
itemflow;element;FlowDefinition;FlowUsage;recolorer;haute;"confirme dans Flows.sysml (mot-cle ""flow def""/""flow""), pas FlowConnection";C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\itemflow.png;icons-study/07-icones-sources/sysml1/itemflow.png
requirement;element;RequirementDefinition;RequirementUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\requirement.png;icons-study/07-icones-sources/sysml1/requirement.png
testcase;element;VerificationCaseDefinition;VerificationCaseUsage;recolorer;haute;confirme dans VerificationCases.sysml;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\testcase.png;icons-study/07-icones-sources/sysml1/testcase.png
viewpoint;element;ViewpointDefinition;ViewpointUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\viewpoint.png;icons-study/07-icones-sources/sysml1/viewpoint.png
view;element;ViewDefinition;ViewUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\view.png;icons-study/07-icones-sources/sysml1/view.png
usecase;element;UseCaseDefinition;UseCaseUsage;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\usecase.png;icons-study/07-icones-sources/sysml1/usecase.png
statemachine;element;StateDefinition;StateUsage;recolorer;moyenne;arbre d'etats remplace le concept de machine a etats autonome;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\statemachine.png;icons-study/07-icones-sources/sysml1/statemachine.png
activity;element;ActionDefinition;ActionUsage;recolorer;moyenne;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\activity.png;icons-study/07-icones-sources/sysml1/activity.png
interaction;element;;OccurrenceUsage / EventOccurrenceUsage;creer;basse;"icone SysML1 ""interaction"" existe (cadre de sequence) mais semantiquement eloignee d'Occurrence - Definition (OccurrenceDefinition) non couverte par une icone source, voir ligne ajoutee en fin de tableau";C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\interaction.png;icons-study/07-icones-sources/sysml1/interaction.png
signal;element;ItemDefinition;ItemUsage;recolorer;basse;a valider - pas retrouve comme metaclasse dediee, probablement un ItemDefinition specialise;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\signal.png;icons-study/07-icones-sources/sysml1/signal.png
allocate;element;AllocationDefinition;AllocationUsage;recolorer;haute;confirme dans Allocations.sysml;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\allocate.png;icons-study/07-icones-sources/sysml1/allocate.png
refine;relation;Refine / DeriveRequirement (relation);;recolorer;moyenne;relation KerML entre exigences, pas de dualite Definition/Usage - a valider selon type exact;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\refine.png;icons-study/07-icones-sources/sysml1/refine.png
trace;relation;Trace (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\trace.png;icons-study/07-icones-sources/sysml1/trace.png
rationale;autre;;;recolorer;basse;base SysML1 rationale.png disponible, pas de metaclasse dediee confirmee - a traiter probablement comme Documentation;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rationale.png;icons-study/07-icones-sources/sysml1/rationale.png
problem;element;ConcernDefinition;ConcernUsage;recolorer;haute;concept normatif v2 = Concern (confirme dans Requirements.sysml), reprendre problem.png comme base et recolorer;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\problem.png;icons-study/07-icones-sources/sysml1/problem.png
conform;relation;Conform (relation);;recolorer;moyenne;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\conform.png;icons-study/07-icones-sources/sysml1/conform.png
association;relation;Association / Connection (relation);;recolorer;haute;notation largement inchangee;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\association.png;icons-study/07-icones-sources/sysml1/association.png
aggregation;relation;FeatureMembership composite=false (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\aggregation.png;icons-study/07-icones-sources/sysml1/aggregation.png
composition;relation;FeatureMembership composite=true (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\composition.png;icons-study/07-icones-sources/sysml1/composition.png
generalization;relation;Specialization (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\generalization.png;icons-study/07-icones-sources/sysml1/generalization.png
dependency;relation;Dependency (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\dependency.png;icons-study/07-icones-sources/sysml1/dependency.png
package;autre;Package;;recolorer;haute;pas de dualite Definition/Usage pour un espace de noms;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\package.png;icons-study/07-icones-sources/sysml1/package.png
packageimport;relation;Import (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packageimport.png;icons-study/07-icones-sources/sysml1/packageimport.png
packagemerge;relation;;;recolorer;basse;a valider - le merge de packages n'est pas garanti identique en v2;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packagemerge.png;icons-study/07-icones-sources/sysml1/packagemerge.png
elementimport;relation;Import (relation);;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\elementimport.png;icons-study/07-icones-sources/sysml1/elementimport.png
enumeration;element;EnumerationDefinition;;recolorer;haute;correction : anciennement place par erreur dans la colonne usage;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumeration.png;icons-study/07-icones-sources/sysml1/enumeration.png
enumerationliteral;element;;EnumerationUsage;recolorer;haute;Definition couverte par la ligne enumeration;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\enumerationliteral.png;icons-study/07-icones-sources/sysml1/enumerationliteral.png
datatype;element;;;recolorer;moyenne;a valider vs AttributeDefinition;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\datatype.png;icons-study/07-icones-sources/sysml1/datatype.png
class;autre;;;recolorer;basse;SysML v2 n'a pas de Class au sens UML - a discuter;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\class.png;icons-study/07-icones-sources/sysml1/class.png
component;element;PartDefinition (stereotype);;recolorer;basse;a valider - Component v1 sans equivalent direct, rapprocher de PartDefinition - correction : anciennement place par erreur dans la colonne usage;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\component.png;icons-study/07-icones-sources/sysml1/component.png
connector;element;ConnectionDefinition;ConnectionUsage;recolorer;haute;confirme dans Connections.sysml;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\connector.png;icons-study/07-icones-sources/sysml1/connector.png
bindingconnector;element;;BindingConnector;recolorer;moyenne;pas de sous-type binding explicite trouve dans Connections.sysml - a verifier dans le noyau KerML (Bindings) - icone d'arbre de modele (visuel : simple fleche double, sans les losanges de binding.png qui est l'icone de palette/outil du meme concept, verifie visuellement le 2026-09-24);C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\bindingconnector.png;icons-study/07-icones-sources/sysml1/bindingconnector.png
naryassociation;relation;relation n-aire;;recolorer;moyenne;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\naryassociation.png;icons-study/07-icones-sources/sysml1/naryassociation.png
narylink;relation;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\narylink.png;icons-study/07-icones-sources/sysml1/narylink.png
parameter;element;;;recolorer;haute;parametre de feature/action conserve;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parameter.png;icons-study/07-icones-sources/sysml1/parameter.png
parameterreturn;element;;;recolorer;moyenne;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parameterreturn.png;icons-study/07-icones-sources/sysml1/parameterreturn.png
note;autre;;Comment;recolorer;haute;Comment n'a pas de pendant Definition;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\note.png;icons-study/07-icones-sources/sysml1/note.png
operation;element;;;recolorer;moyenne;a valider - notion de Behavior/Function en v2;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\operation.png;icons-study/07-icones-sources/sysml1/operation.png
attributelink;autre;;FeatureValue;recolorer;moyenne;liaison de valeur, pas de dualite Definition/Usage;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\attributelink.png;icons-study/07-icones-sources/sysml1/attributelink.png
bindableinstance;element;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\bindableinstance.png;icons-study/07-icones-sources/sysml1/bindableinstance.png
collaboration;element;;;recolorer;basse;a valider - non prioritaire;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\collaboration.png;icons-study/07-icones-sources/sysml1/collaboration.png
collaborationuse;element;;;recolorer;basse;a valider - non prioritaire;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\collaborationuse.png;icons-study/07-icones-sources/sysml1/collaborationuse.png
smartimport;autre;;;recolorer;basse;fonctionnalite Modelio specifique, pas un concept SysML;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\smartimport.png;icons-study/07-icones-sources/sysml1/smartimport.png
smartgeneralization;autre;;;recolorer;basse;fonctionnalite Modelio specifique, pas un concept SysML;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\smartgeneralization.png;icons-study/07-icones-sources/sysml1/smartgeneralization.png
propertyspecifictype;element;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\propertyspecifictype.png;icons-study/07-icones-sources/sysml1/propertyspecifictype.png
participantproperty;element;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\participantproperty.png;icons-study/07-icones-sources/sysml1/participantproperty.png
distributedproperty;element;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\distributedproperty.png;icons-study/07-icones-sources/sysml1/distributedproperty.png
connectorproperty;element;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\connectorproperty.png;icons-study/07-icones-sources/sysml1/connectorproperty.png
optional;autre;;;recolorer;basse;multiplicite optionnelle - a valider si icone dediee necessaire;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\optional.png;icons-study/07-icones-sources/sysml1/optional.png
continuous;autre;;;recolorer;basse;bibliotheque Quantities and Units - a valider si icone dediee necessaire en v2;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\continuous.png;icons-study/07-icones-sources/sysml1/continuous.png
discrete;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discrete.png;icons-study/07-icones-sources/sysml1/discrete.png
continuousparameter;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\continuousparameter.png;icons-study/07-icones-sources/sysml1/continuousparameter.png
discreteparameter;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\discreteparameter.png;icons-study/07-icones-sources/sysml1/discreteparameter.png
rate;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rate.png;icons-study/07-icones-sources/sysml1/rate.png
rateparameter;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\rateparameter.png;icons-study/07-icones-sources/sysml1/rateparameter.png
probability;autre;;;recolorer;basse;idem continuous;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\probability.png;icons-study/07-icones-sources/sysml1/probability.png
unit;autre;;;recolorer;basse;bibliotheque Quantities and Units;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\unit.png;icons-study/07-icones-sources/sysml1/unit.png
quantitykind;autre;;;recolorer;basse;bibliotheque Quantities and Units;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\quantitykind.png;icons-study/07-icones-sources/sysml1/quantitykind.png
providedinterface;element;;InterfaceUsage (port provided);recolorer;moyenne;Definition couverte par la ligne interface;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\providedinterface.png;icons-study/07-icones-sources/sysml1/providedinterface.png
requiredinterface;element;;InterfaceUsage (port required);recolorer;moyenne;Definition couverte par la ligne interface;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\requiredinterface.png;icons-study/07-icones-sources/sysml1/requiredinterface.png
umlcomposition;relation;;;recolorer;basse;doublon visuel de composition - a clarifier;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\umlcomposition.png;icons-study/07-icones-sources/sysml1/umlcomposition.png
associationclass;element;;;recolorer;basse;a valider - notion non garantie en v2;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\associationclass.png;icons-study/07-icones-sources/sysml1/associationclass.png
informationflow;element;FlowDefinition;FlowUsage;recolorer;haute;meme correction que itemflow, confirme dans Flows.sysml;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\informationflow.png;icons-study/07-icones-sources/sysml1/informationflow.png
templatebinding;relation;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\templatebinding.png;icons-study/07-icones-sources/sysml1/templatebinding.png
raisedexception;autre;;;recolorer;basse;a valider;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\raisedexception.png;icons-study/07-icones-sources/sysml1/raisedexception.png
reference;autre;;ReferenceUsage;recolorer;haute;reference n'a pas de pendant Definition en KerML (mot-cle de non-appartenance);C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\reference.png;icons-study/07-icones-sources/sysml1/reference.png
sysml;autre;;;recolorer;haute;icone racine du formalisme / projet;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysml.png;icons-study/07-icones-sources/sysml1/sysml.png
blockdiagram;diagramme;;;recolorer;haute;a adapter en diagramme de definition;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\blockdiagram.png;icons-study/07-icones-sources/sysml1/blockdiagram.png
internalblockdiagram;diagramme;;;recolorer;haute;a adapter en diagramme de definition interne;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\internalblockdiagram.png;icons-study/07-icones-sources/sysml1/internalblockdiagram.png
packagediagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\packagediagram.png;icons-study/07-icones-sources/sysml1/packagediagram.png
parametricdiagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\parametricdiagram.png;icons-study/07-icones-sources/sysml1/parametricdiagram.png
sysmlactivitydiagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlactivitydiagram.png;icons-study/07-icones-sources/sysml1/sysmlactivitydiagram.png
sysmlrequirementdiagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlrequirementdiagram.png;icons-study/07-icones-sources/sysml1/sysmlrequirementdiagram.png
sysmlsequencediagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlsequencediagram.png;icons-study/07-icones-sources/sysml1/sysmlsequencediagram.png
sysmlstatemachinediagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlstatemachinediagram.png;icons-study/07-icones-sources/sysml1/sysmlstatemachinediagram.png
sysmlusecasediagram;diagramme;;;recolorer;haute;;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\sysmlusecasediagram.png;icons-study/07-icones-sources/sysml1/sysmlusecasediagram.png
previewactivitydiagram;diagramme;;;recolorer;basse;vignette de previsualisation - a regenerer en masse par script;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewactivitydiagram.png;icons-study/07-icones-sources/sysml1/previewactivitydiagram.png
previewblockdiagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewblockdiagram.png;icons-study/07-icones-sources/sysml1/previewblockdiagram.png
previewinternalblockdiagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewinternalblockdiagram.png;icons-study/07-icones-sources/sysml1/previewinternalblockdiagram.png
previewpackagediagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewpackagediagram.png;icons-study/07-icones-sources/sysml1/previewpackagediagram.png
previewparametricdiagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewparametricdiagram.png;icons-study/07-icones-sources/sysml1/previewparametricdiagram.png
previewsequencediagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewsequencediagram.png;icons-study/07-icones-sources/sysml1/previewsequencediagram.png
previewstatediagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewstatediagram.png;icons-study/07-icones-sources/sysml1/previewstatediagram.png
previewusecasediagram;diagramme;;;recolorer;basse;idem;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\previewusecasediagram.png;icons-study/07-icones-sources/sysml1/previewusecasediagram.png
;element;MetadataDefinition;MetadataUsage;creer;haute;pas de base SysML1 ni UML pertinente (aucun concept de metadonnee/stereotype dans mmimages uml.ui) - a dessiner - correction (croisee avec le metamodele Java implemente sur la branche feature/sysml2, modelio/sysml/sysml.metamodel.api) : la metaclasse reellement implementee est MetadataFeature, sans dualite Definition/Usage separee - a corriger dans cette ligne;;
;element;AnalysisCaseDefinition;AnalysisCaseUsage;derive;haute;pas de base UML mais base SysML1 disponible par proximite : deriver de testcase.png (meme famille que VerificationCase) plutot que creer ex nihilo;;
;element;RenderingDefinition (Textual/Graphical/Tabular);RenderingUsage;creer;moyenne;pas de base SysML1 - repli UML partiel possible (standard.artifact.png) mais peu convaincant semantiquement - a dessiner;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.artifact.png;icons-study/07-icones-sources/uml/standard.artifact.png
;element;OccurrenceDefinition;OccurrenceUsage;derive;moyenne;pas de base SysML1 - repli UML : standard.event.png (evenement/occurrence dans le temps) - couvre la Definition manquante de la ligne interaction - a valider avec le PO;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.event.png;icons-study/07-icones-sources/uml/standard.event.png
;element;IndividualDefinition;IndividualUsage;derive;moyenne;pas de base SysML1 - repli UML : standard.instance.png / standard.instancenode.png - a valider : IndividualDefinition/IndividualUsage n'apparaissent pas dans le metamodele Java implemente sur la branche feature/sysml2 (modelio/sysml/sysml.metamodel.api, 183 metaclasses recensees) - verifier si le concept est prevu pour une iteration ulterieure ou hors perimetre de cette version de l'implementation;H:\modelio\work\modelio-source\modelio\uml\uml.ui\mmimages\standard.instance.png;icons-study/07-icones-sources/uml/standard.instance.png
block48;element;PartDefinition;;recolorer;haute;variante grande taille (48px) de block.png, meme concept;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\block48.png;icons-study/07-icones-sources/sysml1/block48.png
constraintblock48;element;ConstraintDefinition;;recolorer;haute;variante 48px de constraintblock.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\constraintblock48.png;icons-study/07-icones-sources/sysml1/constraintblock48.png
valuetype48;element;AttributeDefinition;;recolorer;haute;variante 48px de valuetype.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\valuetype48.png;icons-study/07-icones-sources/sysml1/valuetype48.png
view48;element;ViewDefinition;ViewUsage;recolorer;haute;variante 48px de view.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\view48.png;icons-study/07-icones-sources/sysml1/view48.png
viewpoint48;element;ViewpointDefinition;ViewpointUsage;recolorer;haute;variante 48px de viewpoint.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\viewpoint48.png;icons-study/07-icones-sources/sysml1/viewpoint48.png
unit48;autre;;;recolorer;basse;variante 48px de unit.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\unit48.png;icons-study/07-icones-sources/sysml1/unit48.png
quantitykind48;autre;;;recolorer;basse;variante 48px de quantitykind.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\quantitykind48.png;icons-study/07-icones-sources/sysml1/quantitykind48.png
flowspecification48;element;ItemDefinition;ItemUsage;recolorer;moyenne;variante 48px de flowspecification.png;C:\Users\frekik\Documents\GIT\ExtensionsForModelio\SysMLArchitect\src\main\conf\res\icons\flowspecification48.png;icons-study/07-icones-sources/sysml1/flowspecification48.png
